Price,Price per Unit,Brand,category,Description,URL
3.4,5.67,franprix bio,Ratatouilles,Légumes préparés,https://www.franprix.fr/courses/p/ratatouille-cuisinee-bio-99174004
2.57,6.27,franprix bio,Lentilles préparées,Lentilles cuisinées en conserve,https://www.franprix.fr/courses/p/lentilles-vertes-cuisinees-bio-99160348
4.15,24.41,Nestlé dessert,Chocolats noirs,Chocolats,https://www.franprix.fr/courses/p/tablette-chocolat-noir-patissier-99171909
2.72,5.44,La boulangère,Pains de mie,Pains,https://www.franprix.fr/courses/p/pain-de-mie-nature-grandes-tranches-bio-99182946
3.55,104.41,Elephant,Infusions,Boissons à base de végétaux,https://www.franprix.fr/courses/p/infusion-gingembre-citron-bio-99183732
9.4,13.05,Hipp,Compotes pour bébé,Dès 6 mois,https://www.franprix.fr/courses/p/compote-bebe-fruits-multivariete-des-46-mois-bio-99136703
3.47,24.1,Kiri,Fromage fondu double crème environ 31% MG,Fromages à pâte fondue,https://www.franprix.fr/courses/p/fromage-a-tartiner-8-portions-bio-99183925
2.36,2.36,Bjorg,Boissons végétales de soja,Boissons végétales de légumineuses,https://www.franprix.fr/courses/p/boisson-vegetale-soja-douceur-calcium-bio-99011700
4.2,7.0,Bridélice,Crèmes légères,Crèmes liquides,https://www.franprix.fr/courses/p/creme-legere-fluide-15-mg-bio-99162154
2.73,15.6,franprix bio,Gaufres fourrées au miel,Gaufres,https://www.franprix.fr/courses/p/gaufres-fourrees-au-miel-bio-99162160
3.3,20.63,Atelier blini,Blinis,Pancakes,https://www.franprix.fr/courses/p/blinis-bio-99162623
2.65,6.63,franprix bio,Compotes pommes mangue,Compotes de pomme,https://www.franprix.fr/courses/p/compote-pomme-mangue-sans-sucres-ajoutes-bio-99166030
3.25,21.67,Jardin Bio,Tartines craquantes extrudées,Céréales et pommes de terre,https://www.franprix.fr/courses/p/tartines-chataigne-sans-gluten-bio-99108808
4.35,8.7,Jardin biologique,Jus de citron,Boissons sans alcool,https://www.franprix.fr/courses/p/pur-jus-de-citron-bio-99134858
4.45,29.67,franprix bio,Fromages,Produits laitiers fermentés,https://www.franprix.fr/courses/p/fromage-de-chevre-frais-bio-99167625
3.5,4.67,franprix,Cidres demi secs,Cidres bruts,https://www.franprix.fr/courses/p/cidre-brut-bio-99136055
6.12,61.2,Eden gourmet,Saumons fumés d'élevage,Saumons fumés,https://www.franprix.fr/courses/p/saumon-fume-bio-3-tranches-99091550
4.39,21.95,Lïv happy food,Konjac,,https://www.franprix.fr/courses/p/spaghetti-konjac-et-avoine-99162158
2.94,2.94,Jocker,Nectars de pomme,Nectars de fruits,https://www.franprix.fr/courses/p/jus-de-pomme-bio-99158242
3.25,24.62,Gerblé,Biscuits,Biscuits et gâteaux,https://www.franprix.fr/courses/p/biscuit-sable-amande-cranberry-bio-99170093
1.7,17.0,franprix bio,Chocolats au lait,Chocolats,https://www.franprix.fr/courses/p/tablette-chocolat-au-lait-bio-99176728
2.35,18.8,franprix,Biscuits bâtonnets au chocolat,Biscuits au chocolat,https://www.franprix.fr/courses/p/biscuits-batonnets-au-chocolat-au-lait-bio-99168576
7.66,2.55,Lactel bio,Laits demi écrémés biologiques,Laits de vache,https://www.franprix.fr/courses/p/lait-demi-ecreme-bio-99014575
