Category_0;Category_1;Category_2;Category_3
surgeles;frites pommes de terre;pommes noisettes rissolees roestis;potatoes roestis croquettes
surgeles;frites pommes de terre;pommes noisettes rissolees roestis;specialites enfants
surgeles;viandes poissons;steaks haches boulettes;steaks haches
surgeles;viandes poissons;steaks haches boulettes;haches
surgeles;viandes poissons;steaks haches boulettes;boulettes de viandes
surgeles;viandes poissons;steaks haches boulettes;halal
surgeles;viandes poissons;cordon bleus nuggets volailles;cordons bleus
surgeles;viandes poissons;cordon bleus nuggets volailles;nuggets
surgeles;viandes poissons;cordon bleus nuggets volailles;volailles
surgeles;viandes poissons;poissons panes cuisines;poissons panes
surgeles;viandes poissons;poissons panes cuisines;coquilles
surgeles;viandes poissons;poissons panes cuisines;poissons cuisines
surgeles;viandes poissons;crustaces mollusques;saint jacques
surgeles;viandes poissons;crustaces mollusques;escargots
surgeles;viandes poissons;crustaces mollusques;autres coquillages et crustaces
surgeles;viandes poissons;crustaces mollusques;cuisses de grenouille
surgeles;glaces viennoiseries;batonnets mini batonnets;batonnets
surgeles;glaces viennoiseries;batonnets mini batonnets;mini batonnets
surgeles;glaces viennoiseries;pots mini pots;pots
surgeles;glaces viennoiseries;pots mini pots;mini pots
surgeles;glaces viennoiseries;bacs sorbets cremes glacees;sorbets
surgeles;glaces viennoiseries;bacs sorbets cremes glacees;cremes glacees
surgeles;glaces viennoiseries;cones barres batonnets;barres
surgeles;glaces viennoiseries;cones barres batonnets;glaces enfants
surgeles;glaces viennoiseries;viennoiseries patisseries et specialites;patisseries et specialites
surgeles;glaces viennoiseries;viennoiseries patisseries et specialites;viennoiseries
epicerie sucree;cafes;cafe moulu cafe en grains filtres;cafe moulu
epicerie sucree;cafes;cafe moulu cafe en grains filtres;cafe en grains
epicerie sucree;cafes;cafe moulu cafe en grains filtres;arabica
epicerie sucree;cafes;cafe moulu cafe en grains filtres;robusta
epicerie sucree;cafes;cafe moulu cafe en grains filtres;cafe dorigine
epicerie sucree;cafes;cafe moulu cafe en grains filtres;decafeine
epicerie sucree;cafes;cafe moulu cafe en grains filtres;filtres et detartrants
epicerie sucree;cafes;capsules dolce gusto et dosettes tassimo;capsules compatibles tassimo
